City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mwingi,-0.9344,38.0601,81.68,40.0,67.0,11.99,KE,1627036471.0
Bhag,29.0415,67.8239,110.82,17.0,2.0,5.23,PK,1627036473.0
Saint George,37.1041,-113.5841,76.62,82.0,1.0,3.0,US,1627036212.0
Arraial do Cabo,-22.9661,-42.0278,58.86,94.0,40.0,2.3,BR,1627036476.0
Aklavik,68.2191,-135.0107,52.52,92.0,32.0,10.6,CA,1627036477.0
Lebu,-37.6167,-73.65,50.83,91.0,100.0,14.9,CL,1627036478.0
Ushuaia,-54.8,-68.3,38.86,70.0,75.0,3.44,AR,1627036372.0
Mataura,-46.1927,168.8643,46.47,94.0,54.0,3.29,NZ,1627036481.0
Hithadhoo,-0.6,73.0833,82.02,77.0,99.0,16.87,MV,1627036475.0
Shelburne,44.0787,-80.2041,56.75,85.0,35.0,3.58,CA,1627036212.0
Kununurra,-15.7667,128.7333,75.18,43.0,11.0,5.75,AU,1627036485.0
Severo-Kuril'sk,50.6789,156.125,53.26,95.0,99.0,5.57,RU,1627036487.0
Nikolskoye,59.7035,30.7861,67.89,49.0,81.0,9.48,RU,1627036488.0
Rikitea,-23.1203,-134.9692,73.06,79.0,16.0,19.17,PF,1627036489.0
George Town,5.4112,100.3354,88.9,70.0,20.0,6.91,MY,1627036491.0
Punta Arenas,-53.15,-70.9167,35.71,87.0,40.0,17.27,CL,1627036452.0
Upernavik,72.7868,-56.1549,40.05,97.0,100.0,7.65,GL,1627036494.0
Mar del Plata,-38.0023,-57.5575,55.0,71.0,83.0,10.0,AR,1627036495.0
Qaanaaq,77.484,-69.3632,39.47,70.0,22.0,5.01,GL,1627036497.0
Castro,-24.7911,-50.0119,46.33,77.0,0.0,3.44,BR,1627036498.0
Bud,39.447,-86.1758,68.34,95.0,43.0,3.87,US,1627036500.0
Zhigansk,66.7697,123.3711,67.19,56.0,100.0,6.04,RU,1627036501.0
Henties Bay,-22.116,14.2845,78.3,22.0,0.0,7.11,NA,1627036503.0
Cape Town,-33.9258,18.4232,61.11,38.0,0.0,3.44,ZA,1627036383.0
Cockburn Town,21.4612,-71.1419,81.84,80.0,99.0,18.95,TC,1627036505.0
Matara,5.9485,80.5353,80.4,85.0,85.0,13.06,LK,1627036508.0
East London,-33.0153,27.9116,58.14,62.0,20.0,19.57,ZA,1627036509.0
Comodoro Rivadavia,-45.8667,-67.5,44.46,49.0,0.0,20.71,AR,1627036380.0
Batagay,67.6333,134.6333,68.92,49.0,50.0,4.09,RU,1627036512.0
Lompoc,34.6391,-120.4579,60.48,89.0,90.0,0.0,US,1627036348.0
Bathsheba,13.2167,-59.5167,81.21,83.0,20.0,18.41,BB,1627036516.0
Cabo San Lucas,22.8909,-109.9124,81.61,79.0,0.0,1.99,MX,1627036518.0
Saskylakh,71.9167,114.0833,64.26,68.0,100.0,2.77,RU,1627036520.0
Saint-Louis,16.3333,-15.0,80.24,46.0,5.0,9.53,SN,1627036522.0
Simao,22.7886,100.9748,73.69,93.0,95.0,1.12,CN,1627036523.0
Narrabri,-30.3167,149.7833,55.53,82.0,91.0,10.36,AU,1627036525.0
Busselton,-33.65,115.3333,51.08,61.0,97.0,16.42,AU,1627036528.0
Zverinogolovskoye,54.4586,64.8542,91.85,36.0,66.0,7.87,RU,1627036529.0
Awjilah,29.1081,21.2869,93.04,34.0,3.0,9.8,LY,1627036531.0
Kahului,20.8947,-156.47,76.84,88.0,20.0,17.27,US,1627036391.0
Bredasdorp,-34.5322,20.0403,56.52,54.0,3.0,11.5,ZA,1627036533.0
Iqaluit,63.7506,-68.5145,51.53,76.0,75.0,5.01,CA,1627036535.0
Barrow,71.2906,-156.7887,35.62,93.0,90.0,12.66,US,1627036536.0
Yulara,-25.2406,130.9889,60.64,31.0,2.0,5.75,AU,1627036538.0
Nelson Bay,-32.7167,152.15,57.99,88.0,72.0,8.3,AU,1627036539.0
Bluff,-46.6,168.3333,46.8,81.0,90.0,12.62,NZ,1627036541.0
Terrace,54.5163,-128.6035,55.42,87.0,90.0,3.44,CA,1627036281.0
Nanortalik,60.1432,-45.2371,42.8,89.0,71.0,11.01,GL,1627036543.0
Cidreira,-30.1811,-50.2056,56.8,84.0,9.0,6.67,BR,1627036545.0
Souillac,-20.5167,57.5167,77.38,61.0,75.0,17.27,MU,1627036546.0
Alyangula,-13.8483,136.4192,73.27,73.0,16.0,3.44,AU,1627036548.0
Kavaratti,10.5669,72.642,82.15,83.0,100.0,21.12,IN,1627036549.0
Hasaki,35.7333,140.8333,79.29,81.0,30.0,8.66,JP,1627036551.0
Inta,66.0317,60.1659,64.87,37.0,58.0,8.84,RU,1627036552.0
Tuktoyaktuk,69.4541,-133.0374,42.87,83.0,72.0,13.78,CA,1627036554.0
Hobart,-42.8794,147.3294,50.25,68.0,20.0,4.0,AU,1627036391.0
Gizo Government Station,-8.103,156.8419,81.79,78.0,84.0,3.67,SB,1627036556.0
Bethel,41.3712,-73.414,65.91,86.0,1.0,4.61,US,1627036558.0
Atambua,-9.1061,124.8925,69.96,74.0,3.0,3.89,ID,1627036559.0
